dataset,model,forecasting_horizon,MAPE
dataset 1,CORR,10 minutes,0.0848
dataset 1,PCA,10 minutes,0.0966
dataset 1,BC,10 minutes,0.0857
dataset 1,CORR,20 minutes,0.0964
dataset 1,PCA,20 minutes,0.1112
dataset 1,BC,20 minutes,0.0984
dataset 1,CORR,30 minutes,0.1023
dataset 1,PCA,30 minutes,0.1144
dataset 1,BC,30 minutes,0.1046
dataset 2,CORR,10 minutes,0.0569
dataset 2,PCA,10 minutes,0.1114
dataset 2,BC,10 minutes,0.0624
dataset 2,CORR,20 minutes,0.0828
dataset 2,PCA,20 minutes,0.1151
dataset 2,BC,20 minutes,0.0832
dataset 2,CORR,30 minutes,0.0831
dataset 2,PCA,30 minutes,0.1097
dataset 2,BC,30 minutes,0.0860
dataset 3,CORR,10 minutes,0.0545
dataset 3,PCA,10 minutes,0.0801
dataset 3,BC,10 minutes,0.0611
dataset 3,CORR,20 minutes,0.0700
dataset 3,PCA,20 minutes,0.0881
dataset 3,BC,20 minutes,0.0715
dataset 3,CORR,30 minutes,0.0735
dataset 3,PCA,30 minutes,0.0864
dataset 3,BC,30 minutes,0.0810